female,white,black,hisp,asian,married,age,collegeS,collegeM,collegeD,calc,books,mathLike,income,big5O,big5C,big5E,big5A,big5N,AMAS,BDI,MCS,GSES,vocabPre,mathPre,vocabPost,mathPost,MCSpost,mathGrp,mathSel,logAge,logBooks,logBDI
0,0,1,0,1,0,37,1,1,1,1,15,0,1,19,24,34,31,18,23,34,13,19,14,5,14,11,13,1,0,3.610917913,2.772588722,3.526360525
1,1,0,0,0,1,34,0,0,0,0,5,0,0,27,29,23,21,23,23,28,11,14,15,4,10,6,10,1,0,3.526360525,1.791759469,3.33220451
1,1,0,0,0,0,41,0,1,0,0,5,0,1,16,15,18,11,22,35,21,6,21,18,6,21,3,6,0,0,3.713572067,1.791759469,3.044522438
1,1,0,0,0,0,42,1,0,0,0,15,0,1,27,20,25,18,19,27,18,13,20,13,11,15,7,15,0,0,3.737669618,2.772588722,2.890371758
0,0,0,0,1,0,33,0,0,0,0,5,0,0,20,9,21,16,33,9,13,6,24,7,5,13,3,6,0,0,3.496507561,1.791759469,2.564949357
1,1,0,0,0,1,32,1,0,0,0,5,0,1,40,22,40,23,9,45,35,6,6,10,5,15,1,6,0,0,3.465735903,1.791759469,3.555348061
0,1,0,0,0,0,43,1,1,1,0,20,0,1,13,11,9,11,40,36,13,10,20,13,2,14,3,9,0,0,3.761200116,3.044522438,2.564949357
0,1,0,0,0,0,36,0,0,0,0,0,0,1,38,43,35,31,12,21,33,10,7,21,11,22,11,9,0,0,3.583518938,0,3.496507561
1,1,0,0,0,1,59,1,0,1,0,25,0,1,16,14,15,18,34,22,13,12,18,21,6,24,7,12,0,0,4.077537444,3.258096538,2.564949357
1,1,0,0,0,0,27,0,0,0,0,5,0,1,20,11,19,23,29,9,13,24,24,13,5,9,8,12,0,0,3.295836866,1.791759469,2.564949357
1,0,0,0,1,0,40,0,0,0,1,10,0,0,46,45,37,39,9,30,29,6,6,12,9,17,10,6,0,0,3.688879454,2.397895273,3.36729583
1,1,0,0,0,1,46,0,0,0,0,60,1,1,20,9,8,9,40,21,13,8,21,14,10,11,9,16,1,0,3.828641396,4.110873864,2.564949357
0,1,0,0,0,1,40,1,0,0,1,10,1,0,16,10,37,14,30,9,13,24,22,18,8,20,13,24,1,0,3.688879454,2.397895273,2.564949357
0,1,0,0,0,1,30,1,1,1,1,5,1,1,42,24,38,17,17,18,30,23,15,11,12,19,14,24,0,1,3.401197382,1.791759469,3.401197382
1,1,0,0,0,0,76,1,0,1,0,10,0,0,21,10,18,14,39,32,17,10,21,19,8,21,6,10,0,0,4.33073334,2.397895273,2.833213344
1,1,0,0,0,1,47,1,0,0,1,10,1,1,27,26,23,26,24,22,26,20,15,24,7,21,13,15,0,0,3.850147602,2.397895273,3.258096538
0,1,0,0,0,1,57,1,0,0,1,10,0,1,27,21,19,25,25,17,26,16,19,23,7,21,14,15,1,0,4.043051268,2.397895273,3.258096538
1,1,0,0,0,1,34,1,0,0,1,25,0,1,33,27,23,32,28,27,13,21,17,24,7,20,12,21,1,1,3.526360525,3.258096538,2.564949357
0,0,0,0,1,0,26,0,0,0,0,0,0,1,16,10,25,15,26,38,18,10,21,11,9,17,9,10,0,0,3.258096538,0,2.890371758
1,1,0,0,0,0,34,0,0,0,0,45,0,1,18,34,39,28,8,22,33,6,12,13,8,19,7,7,0,0,3.526360525,3.828641396,3.496507561
0,0,0,0,1,1,42,1,0,0,1,5,1,1,42,14,26,15,40,9,13,19,23,12,9,15,10,24,1,1,3.737669618,1.791759469,2.564949357
0,1,0,0,0,0,54,1,0,1,0,5,1,0,15,22,16,26,39,24,19,6,22,17,8,16,9,6,1,0,3.988984047,1.791759469,2.944438979
0,1,0,0,0,0,67,0,1,0,1,0,0,0,14,10,21,12,40,9,13,24,20,21,12,24,14,24,0,1,4.204692619,0,2.564949357
0,1,0,0,0,1,63,1,1,1,1,10,0,1,25,24,19,21,32,14,18,13,16,23,8,21,12,18,0,1,4.143134726,2.397895273,2.890371758
0,1,0,0,0,1,34,1,1,0,1,10,0,1,19,11,25,10,27,30,13,18,23,11,1,10,5,18,1,0,3.526360525,2.397895273,2.564949357
1,1,0,0,0,1,47,1,0,0,0,5,0,1,16,16,23,25,12,39,23,7,17,20,11,23,10,8,0,0,3.850147602,1.791759469,3.135494216
1,1,0,1,0,1,25,0,0,0,0,5,0,1,19,15,38,11,26,21,15,11,20,11,4,11,6,17,1,0,3.218875825,1.791759469,2.708050201
0,1,0,0,0,0,45,0,1,1,0,5,0,0,14,9,8,13,34,18,13,14,22,10,4,18,8,15,0,1,3.80666249,1.791759469,2.564949357
0,1,0,0,0,0,43,0,0,0,1,5,1,1,21,19,35,17,31,11,13,18,17,12,11,15,13,24,1,1,3.761200116,1.791759469,2.564949357
1,1,0,0,0,1,57,1,0,0,1,5,1,1,43,14,38,13,35,11,13,20,24,17,10,16,11,24,1,1,4.043051268,1.791759469,2.564949357
1,1,0,0,0,0,29,1,1,1,0,5,0,1,12,12,26,17,37,18,13,6,21,22,9,17,9,12,1,0,3.36729583,1.791759469,2.564949357
1,0,1,0,0,1,41,1,0,1,1,15,0,1,22,9,19,9,40,16,13,18,23,23,6,16,10,20,0,1,3.713572067,2.772588722,2.564949357
0,1,0,0,0,0,25,0,0,0,1,5,0,0,30,29,24,24,22,28,26,14,15,7,5,16,6,16,0,0,3.218875825,1.791759469,3.258096538
1,1,0,0,0,0,30,1,1,1,1,5,0,1,26,18,18,28,21,21,17,12,18,14,5,17,8,10,0,0,3.401197382,1.791759469,2.833213344
0,1,0,0,0,0,38,0,0,0,1,25,0,0,30,28,18,29,22,32,42,16,15,14,1,10,5,17,1,0,3.63758616,3.258096538,3.737669618
0,1,0,0,0,0,26,0,0,0,0,0,0,0,21,23,24,22,23,32,27,9,21,10,6,9,4,8,1,0,3.258096538,0,3.295836866
1,1,0,0,0,1,36,1,0,0,1,5,0,0,19,30,32,26,16,15,17,11,16,23,12,24,13,10,0,0,3.583518938,1.791759469,2.833213344
1,0,0,0,1,0,42,0,0,0,0,5,0,0,26,17,35,28,17,22,13,6,21,8,5,12,5,6,1,0,3.737669618,1.791759469,2.564949357
0,1,0,0,0,1,43,0,0,0,1,5,1,1,20,12,31,17,36,11,18,24,24,13,8,17,11,24,0,1,3.761200116,1.791759469,2.890371758
0,1,0,0,0,0,32,0,0,0,0,5,0,0,22,20,28,18,29,17,14,6,18,15,8,18,8,12,1,0,3.465735903,1.791759469,2.63905733
0,1,0,1,0,0,29,1,0,0,1,5,0,0,16,9,18,9,40,10,13,11,23,7,6,11,6,17,1,0,3.36729583,1.791759469,2.564949357
0,1,0,1,0,1,48,0,0,0,1,30,1,1,13,9,9,16,39,18,13,24,24,18,8,18,7,24,1,0,3.871201011,3.433987204,2.564949357
1,0,0,0,1,0,38,1,0,0,1,10,1,1,39,31,39,32,18,17,27,13,12,18,11,23,14,12,0,1,3.63758616,2.397895273,3.295836866
1,1,0,0,0,0,31,1,0,0,0,10,0,1,24,11,15,10,24,30,14,17,21,14,9,17,12,19,1,0,3.433987204,2.397895273,2.63905733
0,0,0,0,1,0,29,0,1,1,1,5,1,1,46,39,40,45,8,19,48,24,6,16,10,22,12,24,0,1,3.36729583,1.791759469,3.871201011
0,0,0,1,0,0,24,0,1,0,1,30,0,0,14,18,31,17,25,13,20,16,17,12,9,20,7,15,0,0,3.17805383,3.433987204,2.995732274
1,1,0,0,0,0,38,1,1,0,1,60,1,1,16,20,32,21,24,13,27,20,15,21,11,21,11,19,1,0,3.63758616,4.110873864,3.295836866
1,1,0,0,0,0,36,1,0,0,0,60,0,0,14,21,21,19,21,42,33,15,16,14,7,18,5,13,0,0,3.583518938,4.110873864,3.496507561
0,1,0,0,0,0,41,0,1,1,0,0,0,0,16,28,30,20,16,15,33,9,17,16,9,21,9,9,0,0,3.713572067,0,3.496507561
0,1,0,0,0,0,36,0,0,0,1,5,0,1,20,17,30,19,25,12,21,10,18,21,8,17,5,12,0,0,3.583518938,1.791759469,3.044522438
0,0,0,0,1,0,30,1,1,1,1,0,0,1,36,31,27,28,11,35,14,9,8,11,7,14,14,14,1,0,3.401197382,0,2.63905733
1,1,0,0,0,1,38,1,0,0,1,40,1,1,25,11,35,26,16,22,26,8,18,17,8,19,8,9,0,0,3.63758616,3.713572067,3.258096538
1,1,0,0,0,0,40,1,0,0,1,25,0,1,26,21,29,21,18,20,17,24,14,18,9,21,12,24,0,0,3.688879454,3.258096538,2.833213344
0,1,0,0,0,0,29,1,1,1,1,0,0,1,29,26,29,27,25,15,13,6,12,12,6,16,11,6,1,0,3.36729583,0,2.564949357
1,1,0,0,0,0,41,0,0,0,0,20,0,0,25,17,32,24,26,15,13,18,18,21,9,21,7,18,1,0,3.713572067,3.044522438,2.564949357
0,1,0,0,0,1,48,0,0,0,0,60,0,0,17,24,34,20,13,21,28,7,12,22,10,23,10,7,0,0,3.871201011,4.110873864,3.33220451
0,1,0,0,0,0,63,1,0,0,0,5,1,0,14,12,16,9,40,12,15,7,22,11,7,15,9,7,1,0,4.143134726,1.791759469,2.708050201
1,1,0,0,0,1,37,1,1,0,1,5,0,1,16,9,24,14,33,17,14,20,22,16,8,14,12,24,1,0,3.610917913,1.791759469,2.63905733
1,1,0,0,0,0,35,0,0,0,1,15,0,0,17,28,18,17,24,14,15,12,20,17,7,22,8,16,1,1,3.555348061,2.772588722,2.708050201
1,1,0,0,0,1,40,1,0,1,0,5,0,1,19,18,28,15,19,28,20,18,19,18,1,11,8,17,1,1,3.688879454,1.791759469,2.995732274
1,0,1,0,0,1,28,0,0,0,0,5,0,1,20,30,18,24,13,30,20,8,15,9,5,15,7,15,1,0,3.33220451,1.791759469,2.995732274
0,1,0,0,0,0,27,0,1,1,0,60,0,1,37,36,20,42,10,38,30,14,21,6,1,6,2,12,1,0,3.295836866,4.110873864,3.401197382
1,1,0,0,0,1,56,0,0,0,0,10,1,1,21,9,24,12,40,14,14,22,16,13,1,14,3,18,0,0,4.025351691,2.397895273,2.63905733
0,0,0,0,1,0,50,0,0,0,1,0,0,0,13,9,19,21,36,9,13,18,23,15,11,18,14,18,0,0,3.912023005,0,2.564949357
1,0,1,0,0,0,52,0,1,0,0,5,1,1,23,17,21,16,29,21,15,6,18,16,4,15,5,6,0,0,3.951243719,1.791759469,2.708050201
1,1,0,0,0,0,43,1,1,1,0,20,0,0,23,23,39,17,25,23,29,6,16,20,10,22,8,6,0,1,3.761200116,3.044522438,3.36729583
1,1,0,0,0,1,48,0,0,0,0,25,1,1,18,27,29,30,9,21,31,6,17,13,8,16,8,6,1,0,3.871201011,3.258096538,3.433987204
0,1,0,0,0,0,67,1,0,0,1,20,0,0,12,15,19,25,38,9,13,18,24,17,8,15,12,18,1,0,4.204692619,3.044522438,2.564949357
0,1,0,0,0,0,57,0,0,0,0,0,0,1,23,9,22,13,40,9,13,6,24,13,1,16,3,6,1,1,4.043051268,0,2.564949357
1,1,0,0,0,0,36,1,1,0,0,5,0,0,18,31,28,25,15,25,26,6,12,12,3,10,6,12,1,0,3.583518938,1.791759469,3.258096538
0,1,0,0,0,0,45,0,0,0,1,5,1,1,33,19,27,35,22,19,22,6,10,14,8,15,9,8,0,1,3.80666249,1.791759469,3.091042453
1,0,1,0,0,1,35,1,1,1,1,0,1,1,25,14,26,16,31,13,18,18,19,11,10,15,14,23,1,1,3.555348061,0,2.890371758
1,1,0,0,0,1,48,0,0,0,0,5,0,1,28,23,15,15,24,24,17,6,18,12,6,20,5,7,0,0,3.871201011,1.791759469,2.833213344
1,1,0,0,0,1,43,1,0,0,1,5,0,1,23,10,11,11,34,14,13,16,19,20,7,22,11,17,0,0,3.761200116,1.791759469,2.564949357
0,1,0,0,0,0,38,0,0,1,0,5,0,0,20,22,34,24,25,9,21,6,14,12,9,17,11,12,1,1,3.63758616,1.791759469,3.044522438
0,1,0,0,0,0,26,0,0,0,0,30,0,1,31,34,38,28,9,32,45,6,10,17,5,23,8,6,1,0,3.258096538,3.433987204,3.80666249
0,1,0,0,0,1,42,1,0,1,1,5,1,1,14,11,20,19,36,13,13,17,23,14,11,19,11,17,0,0,3.737669618,1.791759469,2.564949357
1,1,0,0,0,1,41,1,0,1,1,20,0,0,23,11,33,17,20,24,22,11,13,16,9,21,10,12,0,0,3.713572067,3.044522438,3.091042453
1,1,1,1,0,0,29,0,0,0,0,0,1,0,26,21,26,16,20,12,20,12,15,10,7,16,9,12,0,1,3.36729583,0,2.995732274
1,1,0,0,0,0,41,0,0,0,0,5,1,0,16,22,12,13,22,16,46,21,20,12,5,14,9,23,1,1,3.713572067,1.791759469,3.828641396
0,1,0,0,0,0,41,1,0,0,0,15,1,1,28,18,34,25,22,9,31,24,16,18,11,22,12,24,0,1,3.713572067,2.772588722,3.433987204
1,1,0,0,0,1,31,1,1,1,0,10,1,0,30,28,24,28,25,30,34,16,15,5,5,6,10,16,0,1,3.433987204,2.397895273,3.526360525
1,1,0,0,0,1,45,1,0,0,0,40,0,1,15,35,33,17,13,21,20,12,10,17,8,22,10,10,0,0,3.80666249,3.713572067,2.995732274
0,0,0,0,0,0,42,1,0,0,0,5,0,1,27,18,18,26,33,24,13,12,18,13,7,15,7,12,1,0,3.737669618,1.791759469,2.564949357
0,1,0,0,0,1,36,1,0,0,1,5,1,1,29,17,30,21,22,21,13,13,18,18,7,19,7,15,0,1,3.583518938,1.791759469,2.564949357
0,1,0,1,0,0,32,0,0,0,1,25,0,1,19,22,16,28,30,13,19,11,16,21,10,22,12,18,1,0,3.465735903,3.258096538,2.944438979
1,1,1,1,0,0,35,0,0,0,0,0,0,0,15,18,25,26,12,30,38,10,15,10,5,11,8,9,1,0,3.555348061,0,3.63758616
1,1,0,0,0,0,26,1,0,1,1,10,0,1,14,12,36,24,20,21,36,12,14,19,6,19,11,14,1,0,3.258096538,2.397895273,3.583518938
1,1,0,0,0,1,26,0,0,0,1,50,1,0,25,28,30,18,16,12,34,24,15,18,10,20,12,23,0,0,3.258096538,3.931825633,3.526360525
0,1,0,0,0,0,36,1,1,0,1,20,0,1,20,22,32,26,25,17,13,18,17,15,9,20,13,18,1,0,3.583518938,3.044522438,2.564949357
0,0,1,0,0,1,46,1,1,1,1,10,1,1,26,17,20,18,26,28,22,12,15,17,11,21,12,12,0,1,3.828641396,2.397895273,3.091042453
1,1,0,0,0,1,40,0,0,0,0,5,0,1,20,12,20,13,30,29,13,13,22,4,8,10,5,15,0,1,3.688879454,1.791759469,2.564949357
1,1,0,0,0,0,30,0,0,0,0,30,0,1,18,9,8,9,40,9,13,18,18,18,4,17,3,18,0,0,3.401197382,3.433987204,2.564949357
1,0,0,1,0,0,28,1,0,0,0,15,0,1,15,16,11,9,24,44,16,9,18,16,8,23,5,10,0,0,3.33220451,2.772588722,2.772588722
0,0,0,0,1,0,30,1,0,1,1,5,1,1,36,24,38,26,21,10,27,24,12,12,12,17,15,24,0,1,3.401197382,1.791759469,3.295836866
0,1,0,0,0,0,22,0,1,0,1,5,1,1,34,28,35,24,15,29,26,12,8,11,11,16,10,12,0,0,3.091042453,1.791759469,3.258096538
0,1,0,1,0,1,39,1,0,0,1,5,0,1,30,24,32,27,25,32,30,12,19,15,8,19,11,12,0,0,3.663561646,1.791759469,3.401197382
1,1,0,0,0,0,53,1,0,0,1,5,0,0,22,16,34,17,23,11,15,17,17,21,12,16,14,22,1,1,3.970291914,1.791759469,2.708050201
1,1,0,1,0,1,48,0,0,0,0,60,0,1,24,26,32,27,24,38,26,6,16,22,9,22,7,6,0,0,3.871201011,4.110873864,3.258096538
0,1,0,0,0,0,37,0,0,0,1,5,1,0,24,21,31,30,29,9,19,24,20,14,12,19,11,24,0,1,3.610917913,1.791759469,2.944438979
1,1,0,0,0,0,56,1,0,0,0,15,0,0,22,36,36,25,12,17,27,16,11,22,8,23,4,16,0,0,4.025351691,2.772588722,3.295836866
1,1,1,0,0,1,53,0,0,0,0,5,0,0,20,9,22,11,40,15,13,8,24,19,8,20,5,9,0,0,3.970291914,1.791759469,2.564949357
1,1,0,0,0,0,25,1,1,0,0,5,0,0,24,31,18,30,16,32,29,10,9,16,6,13,5,8,1,0,3.218875825,1.791759469,3.36729583
0,1,0,0,0,0,25,1,1,1,1,10,1,1,14,10,23,14,35,20,14,24,18,22,8,20,13,24,0,1,3.218875825,2.397895273,2.63905733
1,0,1,0,0,0,33,1,1,1,1,10,1,1,36,12,35,25,11,9,24,24,9,13,12,16,15,24,1,1,3.496507561,2.397895273,3.17805383
0,1,0,0,0,1,50,0,0,0,0,20,0,0,10,9,8,9,40,21,13,9,23,15,5,17,6,8,1,0,3.912023005,3.044522438,2.564949357
1,1,0,0,0,1,44,1,0,0,1,5,1,1,32,14,38,20,15,20,37,14,12,18,6,19,5,14,0,0,3.784189634,1.791759469,3.610917913
0,1,0,0,0,0,50,1,1,0,1,10,1,1,25,12,16,15,31,13,13,24,22,19,11,19,11,24,0,1,3.912023005,2.397895273,2.564949357
0,1,0,0,0,0,50,0,0,0,0,5,0,0,19,17,32,22,25,12,17,13,18,19,12,19,12,20,1,1,3.912023005,1.791759469,2.833213344
1,1,0,0,0,0,40,1,1,0,1,10,0,1,21,19,14,23,24,38,20,12,20,10,4,17,11,20,1,0,3.688879454,2.397895273,2.995732274
0,1,0,1,0,0,25,0,0,0,1,15,0,1,15,11,23,25,31,21,14,13,22,14,11,18,8,13,0,0,3.218875825,2.772588722,2.63905733
1,1,0,1,0,0,21,0,1,0,1,0,0,1,19,34,30,18,12,23,32,16,9,11,6,16,14,24,1,0,3.044522438,0,3.465735903
1,1,0,0,0,0,37,0,0,0,0,5,0,1,43,24,30,30,22,22,29,16,17,8,6,17,8,16,0,0,3.610917913,1.791759469,3.36729583
1,1,0,0,0,1,38,1,0,1,0,25,0,1,15,15,13,23,30,28,17,14,18,18,6,23,11,16,1,0,3.63758616,3.258096538,2.833213344
0,1,0,0,0,0,34,1,1,1,0,0,1,0,35,14,26,15,35,18,14,15,21,12,5,13,7,12,1,1,3.526360525,0,2.63905733
1,0,1,0,0,0,55,1,1,1,1,60,0,1,14,11,17,16,30,17,15,24,21,18,9,11,13,23,0,1,4.007333185,4.110873864,2.708050201
0,1,0,0,0,1,39,0,0,0,1,5,1,1,35,9,20,14,38,14,14,18,24,24,3,19,6,18,0,0,3.663561646,1.791759469,2.63905733
1,0,0,1,0,0,26,0,0,0,1,50,1,1,22,14,25,24,30,12,14,21,24,22,9,21,14,24,1,1,3.258096538,3.931825633,2.63905733
0,0,0,1,0,0,35,1,0,0,1,10,0,0,12,9,40,9,17,10,22,11,18,13,11,18,11,11,0,1,3.555348061,2.397895273,3.091042453
0,0,1,0,0,0,41,0,0,0,0,5,0,0,20,20,35,25,37,20,14,13,19,19,1,21,5,12,0,0,3.713572067,1.791759469,2.63905733
1,1,1,1,0,1,40,0,0,0,0,10,0,0,23,17,27,19,23,25,23,15,18,16,2,18,4,14,1,0,3.688879454,2.397895273,3.135494216
0,1,0,0,0,1,39,1,1,1,1,5,0,1,34,26,38,32,10,25,13,6,12,12,4,13,4,6,1,0,3.663561646,1.791759469,2.564949357
0,0,0,0,1,0,32,1,1,1,1,10,0,1,23,10,32,20,23,15,15,21,19,23,12,24,15,24,1,1,3.465735903,2.397895273,2.708050201
1,0,0,0,1,1,34,1,1,1,1,5,1,1,27,20,27,34,19,9,22,24,19,21,10,18,12,24,1,0,3.526360525,1.791759469,3.091042453
1,1,0,0,0,0,40,0,1,0,1,10,1,1,27,18,25,14,26,15,15,20,18,17,12,18,12,24,1,0,3.688879454,2.397895273,2.708050201
0,1,0,0,0,1,34,1,1,1,0,5,0,1,22,23,22,26,28,27,33,17,17,4,3,2,5,17,1,1,3.526360525,1.791759469,3.496507561
0,0,1,0,0,0,30,1,0,0,1,5,0,1,30,9,24,9,38,9,13,24,18,23,12,23,15,24,0,1,3.401197382,1.791759469,2.564949357
0,1,0,0,0,0,55,1,0,0,1,5,1,1,23,34,35,13,20,19,23,19,16,18,12,15,15,22,1,1,4.007333185,1.791759469,3.135494216
1,1,0,0,0,0,43,1,1,1,1,5,0,1,21,17,30,19,34,12,17,19,18,19,12,23,14,19,0,0,3.761200116,1.791759469,2.833213344
0,1,0,0,0,1,27,1,1,1,1,5,0,1,19,16,16,18,35,15,13,23,22,18,9,15,11,23,1,0,3.295836866,1.791759469,2.564949357
0,1,0,0,0,0,65,1,0,0,0,15,0,1,25,12,27,14,30,26,16,17,18,23,12,23,10,19,0,0,4.17438727,2.772588722,2.772588722
0,1,0,0,0,0,25,1,0,0,1,10,0,1,16,17,23,17,35,17,13,21,21,14,9,15,12,21,1,0,3.218875825,2.397895273,2.564949357
1,1,0,0,0,0,36,1,1,1,1,5,1,1,15,9,19,12,36,10,13,23,24,17,10,21,7,24,0,0,3.583518938,1.791759469,2.564949357
0,1,0,0,0,0,30,0,0,0,0,5,1,0,24,22,28,20,23,9,13,24,19,11,7,12,8,24,1,1,3.401197382,1.791759469,2.564949357
1,1,0,0,0,0,59,0,0,0,0,60,0,1,24,18,11,16,35,24,14,9,21,15,6,19,6,11,1,0,4.077537444,4.110873864,2.63905733
0,1,0,0,0,1,45,0,1,0,0,60,0,0,12,18,20,20,16,45,19,6,20,22,2,22,9,10,1,0,3.80666249,4.110873864,2.944438979
1,1,0,0,0,1,46,1,1,1,1,5,0,1,27,26,31,25,17,24,30,20,9,17,12,17,8,21,1,0,3.828641396,1.791759469,3.401197382
1,0,0,1,0,0,38,1,0,1,0,10,0,1,23,29,38,23,9,24,23,13,12,17,12,21,11,20,1,0,3.63758616,2.397895273,3.135494216
1,1,0,0,0,0,73,1,0,0,0,60,0,0,16,21,26,27,31,31,15,11,18,24,8,21,10,17,1,1,4.290459441,4.110873864,2.708050201
1,1,0,0,0,1,30,1,0,0,1,25,1,1,25,23,23,28,23,22,43,19,19,15,6,10,9,17,1,1,3.401197382,3.258096538,3.761200116
0,1,0,0,0,0,40,0,0,0,0,5,0,0,10,9,8,9,40,45,13,6,24,14,2,17,1,6,0,0,3.688879454,1.791759469,2.564949357
1,1,0,0,0,0,41,1,0,0,1,5,0,1,23,9,36,19,22,17,16,15,17,16,9,19,9,24,1,0,3.713572067,1.791759469,2.772588722
0,1,0,0,0,0,40,0,0,0,1,5,1,0,20,18,29,22,32,9,13,18,18,20,12,22,15,18,1,1,3.688879454,1.791759469,2.564949357
1,1,0,0,0,1,30,1,0,0,1,25,1,1,26,20,20,30,22,28,43,19,19,14,6,10,11,17,1,1,3.401197382,3.258096538,3.761200116
1,1,0,0,0,1,30,1,0,0,1,10,1,1,24,23,18,27,25,21,37,17,15,9,8,9,9,15,1,1,3.401197382,2.397895273,3.610917913
1,1,0,0,0,1,28,1,0,0,1,30,0,1,21,21,17,25,24,25,45,15,19,12,6,12,10,16,0,1,3.33220451,3.433987204,3.80666249
1,0,1,0,0,0,24,0,1,1,1,5,1,0,28,26,24,14,27,14,16,18,17,21,10,20,11,18,0,0,3.17805383,1.791759469,2.772588722
0,0,0,1,0,1,50,1,0,0,1,30,0,1,12,9,15,11,39,15,15,11,23,19,10,17,7,13,1,0,3.912023005,3.433987204,2.708050201
1,1,0,0,0,1,39,1,0,0,0,30,0,1,15,14,39,18,17,28,28,15,18,17,9,20,8,13,0,0,3.663561646,3.433987204,3.33220451
0,0,1,0,0,0,28,0,1,1,1,5,1,0,14,23,39,30,31,9,25,24,16,21,8,21,14,24,0,1,3.33220451,1.791759469,3.218875825
0,1,0,0,0,1,24,0,0,0,0,5,0,0,28,33,39,28,9,36,42,6,8,15,3,18,5,6,0,0,3.17805383,1.791759469,3.737669618
0,1,0,0,0,0,47,1,0,1,0,10,0,1,20,15,27,20,30,16,13,14,16,20,11,21,9,17,0,0,3.850147602,2.397895273,2.564949357
0,1,0,0,0,1,57,1,0,0,1,15,0,1,23,14,19,29,8,9,26,24,13,21,12,21,15,24,0,0,4.043051268,2.772588722,3.258096538
0,1,0,0,0,1,37,0,0,0,0,5,0,1,29,9,31,9,36,9,13,6,19,14,2,16,4,6,1,0,3.610917913,1.791759469,2.564949357
1,1,0,0,0,0,21,0,1,1,1,5,1,1,27,15,23,13,23,16,17,24,17,15,8,10,12,24,1,0,3.044522438,1.791759469,2.833213344
1,1,0,0,0,1,50,1,1,1,1,10,1,1,23,18,30,20,22,11,22,24,20,13,12,15,13,24,1,1,3.912023005,2.397895273,3.091042453
0,1,0,0,0,1,29,1,1,1,1,30,1,1,18,14,31,16,35,9,18,24,23,21,11,16,14,24,1,1,3.36729583,3.433987204,2.890371758
1,1,0,0,0,0,57,1,0,0,1,10,0,1,15,10,34,12,36,16,19,12,19,19,8,20,13,21,1,0,4.043051268,2.397895273,2.944438979
1,1,0,0,0,0,25,0,0,0,1,5,0,0,23,22,32,23,13,29,34,16,15,12,6,13,6,16,1,0,3.218875825,1.791759469,3.526360525
0,1,0,0,0,0,26,0,0,1,0,0,1,1,21,22,32,18,23,17,25,23,17,9,12,17,15,24,1,0,3.258096538,0,3.218875825
1,1,0,0,0,1,42,1,1,1,0,40,0,0,10,9,27,21,16,42,21,12,19,17,5,16,7,9,0,0,3.737669618,3.713572067,3.044522438
1,1,0,0,0,1,54,1,0,0,0,25,0,1,20,11,26,22,24,15,13,16,18,21,12,23,11,16,0,0,3.988984047,3.258096538,2.564949357
0,1,0,0,0,0,38,1,0,0,0,5,0,1,12,23,25,27,23,21,13,17,23,15,8,17,10,18,1,0,3.63758616,1.791759469,2.564949357
1,1,0,0,0,0,31,0,0,0,0,5,0,1,14,13,12,26,19,16,16,12,15,7,3,11,5,6,1,0,3.433987204,1.791759469,2.772588722
0,1,0,0,0,1,46,0,0,0,0,0,1,1,21,23,33,16,22,22,38,12,13,16,9,20,11,15,0,0,3.828641396,0,3.63758616
1,0,1,1,0,0,27,1,0,1,1,10,0,0,31,18,26,22,36,12,14,12,18,15,11,16,13,18,1,0,3.295836866,2.397895273,2.63905733
1,0,0,1,0,0,31,0,0,0,1,0,0,1,12,32,25,31,22,25,19,11,18,15,5,15,6,14,1,0,3.433987204,0,2.944438979
0,1,0,0,0,1,32,0,0,0,1,10,0,1,16,9,12,11,29,12,13,23,21,21,4,18,4,15,1,0,3.465735903,2.397895273,2.564949357
1,1,1,1,0,0,42,1,0,0,1,10,0,0,20,24,20,21,33,15,16,9,16,10,5,17,6,11,0,0,3.737669618,2.397895273,2.772588722
0,1,0,0,0,1,48,0,1,0,1,10,1,1,23,10,29,25,40,9,13,19,23,21,12,21,12,21,1,1,3.871201011,2.397895273,2.564949357
1,1,0,0,0,1,45,0,0,0,0,10,0,1,23,16,32,22,22,19,16,12,17,16,11,21,13,14,0,0,3.80666249,2.397895273,2.772588722
1,1,0,0,0,0,21,0,0,0,0,5,0,0,31,23,28,22,20,25,23,8,12,10,10,18,9,8,0,0,3.044522438,1.791759469,3.135494216
0,1,0,0,0,0,47,0,1,1,1,5,1,0,30,9,33,9,40,13,13,16,22,12,11,18,10,16,0,0,3.850147602,1.791759469,2.564949357
0,1,0,0,1,0,26,0,0,0,0,5,0,1,33,22,33,28,18,12,30,16,14,15,10,16,11,24,1,0,3.258096538,1.791759469,3.401197382
1,1,0,0,0,1,40,1,0,0,0,5,0,1,13,13,17,12,23,23,30,9,20,21,9,19,12,24,1,0,3.688879454,1.791759469,3.401197382
1,1,0,0,0,1,34,0,0,0,1,10,1,1,23,17,28,15,25,20,30,20,18,20,5,18,4,21,1,0,3.526360525,2.397895273,3.401197382
1,1,0,0,0,0,25,0,0,0,0,10,0,1,13,11,21,25,20,40,30,9,18,12,4,11,6,6,1,0,3.218875825,2.397895273,3.401197382
0,1,0,0,0,1,46,0,1,0,1,15,0,1,24,28,29,38,23,44,22,6,21,14,7,20,7,6,0,0,3.828641396,2.772588722,3.091042453
