female,white,black,hisp,asian,married,age,collegeS,collegeM,collegeD,calc,books,mathLike,income,big5O,big5C,big5E,big5A,big5N,AMAS,BDI,MCS,GSES,vocabPre,mathPre,vocabPost,mathPost,MCSpost,mathGrp,mathSel,logAge,logBooks,logBDI
1,0,1,0,0,0,52,0,0,0,0,5,0,1,13,10,21,12,33,31,13,8,24,12,3,14,5,12,0,0,3.951243719,1.791759469,2.564949357
1,1,0,0,0,1,32,1,0,0,0,20,0,1,11,9,8,11,37,12,13,13,22,21,4,19,3,13,0,0,3.465735903,3.044522438,2.564949357
1,1,0,0,0,1,37,0,0,0,1,5,1,1,39,16,22,16,23,20,16,6,17,12,9,14,7,6,0,1,3.610917913,1.791759469,2.772588722
1,1,0,0,0,0,54,0,0,0,0,10,0,1,12,9,10,9,40,11,13,18,23,18,4,18,3,12,1,0,3.988984047,2.397895273,2.564949357
1,1,0,0,0,1,42,0,0,0,0,5,0,1,21,15,30,13,36,36,14,7,22,16,6,19,3,6,0,0,3.737669618,1.791759469,2.63905733
0,0,0,1,0,0,31,1,0,0,1,5,0,0,26,29,38,22,20,33,34,18,14,17,11,23,14,18,0,0,3.433987204,1.791759469,3.526360525
1,0,0,0,1,1,42,1,1,0,1,5,0,1,23,12,30,10,23,36,20,6,16,12,5,20,3,12,0,0,3.737669618,1.791759469,2.995732274
1,1,0,0,0,1,32,0,0,0,0,0,1,1,21,13,34,9,20,12,22,19,17,6,7,17,10,19,0,0,3.465735903,0,3.091042453
1,1,0,0,0,0,20,0,0,1,0,5,0,0,22,17,30,12,14,26,27,21,21,12,7,14,7,23,1,0,2.995732274,1.791759469,3.295836866
1,1,0,0,0,0,47,0,0,0,0,20,0,0,11,15,39,17,19,27,30,13,18,19,4,22,3,6,0,0,3.850147602,3.044522438,3.401197382
1,1,0,1,0,0,42,1,0,0,0,0,1,1,14,28,32,15,16,17,22,11,15,14,4,11,7,18,1,0,3.737669618,0,3.091042453
1,1,0,0,0,1,44,0,0,0,0,5,0,1,26,23,27,20,23,33,15,11,18,12,5,17,8,12,1,0,3.784189634,1.791759469,2.708050201
0,1,0,0,0,0,69,0,1,1,0,50,0,0,13,13,23,14,32,19,17,8,20,23,11,19,9,16,1,0,4.234106505,3.931825633,2.833213344
0,0,1,0,0,0,36,0,0,0,0,5,0,0,18,13,27,10,39,14,17,12,17,12,7,18,5,9,0,0,3.583518938,1.791759469,2.833213344
0,1,0,0,0,0,54,1,0,0,1,5,0,1,17,9,22,28,29,20,15,16,19,14,9,14,8,21,1,0,3.988984047,1.791759469,2.708050201
0,1,0,0,0,0,45,0,0,0,0,10,0,0,21,20,33,24,38,15,13,6,20,16,7,21,8,6,0,0,3.80666249,2.397895273,2.564949357
0,1,0,0,0,1,53,1,0,0,1,10,0,0,17,10,18,15,21,29,27,18,20,13,10,22,12,19,0,0,3.970291914,2.397895273,3.295836866
0,1,0,0,0,0,36,0,0,0,0,5,1,0,29,11,22,28,27,9,18,10,20,21,10,23,9,10,0,1,3.583518938,1.791759469,2.890371758
1,1,0,0,0,1,55,0,0,0,1,5,0,1,39,11,16,13,22,14,15,16,18,17,7,15,10,12,1,0,4.007333185,1.791759469,2.708050201
0,1,0,0,0,0,32,0,0,0,0,5,0,0,28,27,23,25,25,36,23,6,6,18,4,14,3,6,0,0,3.465735903,1.791759469,3.135494216
0,1,0,0,0,0,53,0,1,1,0,5,1,0,22,25,32,19,27,19,19,14,18,20,12,16,12,17,1,0,3.970291914,1.791759469,2.944438979
0,0,1,0,0,0,22,0,0,0,1,0,1,1,22,14,23,15,35,15,16,16,21,19,5,11,8,22,0,0,3.091042453,0,2.772588722
0,1,0,0,0,0,58,1,1,1,0,5,0,0,33,9,20,21,28,33,21,14,18,15,10,14,9,22,1,1,4.060443011,1.791759469,3.044522438
1,0,0,1,0,0,41,1,0,0,1,60,0,0,23,18,32,17,33,10,13,17,18,16,10,17,14,18,1,0,3.713572067,4.110873864,2.564949357
0,1,0,0,0,0,36,1,0,1,1,20,1,1,18,25,20,25,20,22,27,24,24,19,5,22,4,24,0,0,3.583518938,3.044522438,3.295836866
0,1,0,0,0,1,32,0,0,0,1,5,1,0,25,9,20,29,36,13,18,18,20,16,10,19,10,18,0,1,3.465735903,1.791759469,2.890371758
1,1,0,0,0,0,62,0,0,0,0,0,0,0,30,24,25,21,26,22,13,13,17,20,6,22,3,10,0,0,4.127134385,0,2.564949357
1,1,0,0,0,0,33,1,1,1,0,10,0,1,25,16,25,19,30,16,17,10,20,16,4,20,6,11,0,0,3.496507561,2.397895273,2.833213344
0,1,0,0,0,0,38,1,1,1,1,10,0,1,19,14,18,15,35,10,14,6,20,12,9,18,7,18,1,0,3.63758616,2.397895273,2.63905733
1,0,0,0,1,1,49,1,0,0,1,5,1,1,12,9,8,9,40,20,13,24,24,20,11,12,13,24,1,0,3.891820298,1.791759469,2.564949357
1,1,0,0,0,0,65,0,0,0,1,30,0,1,23,27,19,20,20,17,23,11,15,21,9,24,7,12,0,0,4.17438727,3.433987204,3.135494216
0,0,1,0,0,1,47,1,1,1,0,15,0,1,18,19,31,21,34,19,13,8,19,23,8,23,9,8,0,0,3.850147602,2.772588722,2.564949357
0,1,0,0,0,1,37,1,1,1,1,25,0,1,32,25,22,23,21,12,15,21,18,17,11,14,12,22,0,1,3.610917913,3.258096538,2.708050201
0,1,0,0,0,1,33,0,0,0,1,5,1,1,24,11,15,15,37,15,13,18,22,11,9,16,11,18,0,1,3.496507561,1.791759469,2.564949357
0,1,0,0,0,0,40,1,0,0,0,5,0,1,43,33,40,29,9,28,33,8,7,22,10,23,10,9,0,0,3.688879454,1.791759469,3.496507561
1,1,0,0,0,1,39,1,1,1,1,5,1,1,22,20,23,19,24,12,17,24,16,22,11,19,14,24,0,1,3.663561646,1.791759469,2.833213344
0,0,0,0,1,0,41,1,0,1,0,5,0,1,27,36,33,35,22,17,15,19,16,20,9,23,8,19,0,1,3.713572067,1.791759469,2.708050201
1,1,0,0,0,0,28,1,1,1,0,5,0,1,22,18,19,26,32,31,16,17,18,15,7,18,9,20,1,0,3.33220451,1.791759469,2.772588722
0,1,0,1,0,1,28,0,1,1,1,5,0,1,24,17,19,21,29,17,13,18,21,21,7,20,8,18,1,0,3.33220451,1.791759469,2.564949357
1,1,0,0,0,1,30,0,0,0,0,5,0,0,22,15,21,17,25,15,22,12,17,6,7,13,9,18,1,0,3.401197382,1.791759469,3.091042453
1,1,0,0,0,0,29,0,0,0,0,0,0,1,17,10,16,9,36,32,13,6,12,8,7,13,5,6,0,0,3.36729583,0,2.564949357
0,1,0,0,0,0,47,1,1,0,1,20,1,0,13,21,18,21,36,12,13,18,23,21,11,19,13,18,1,1,3.850147602,3.044522438,2.564949357
0,1,0,0,0,0,59,0,0,0,0,10,1,0,22,10,17,19,40,13,14,24,22,22,11,23,14,24,1,1,4.077537444,2.397895273,2.63905733
1,0,1,1,1,0,40,1,0,0,0,60,0,0,16,16,33,23,19,20,32,13,17,16,9,17,13,14,1,0,3.688879454,4.110873864,3.465735903
0,1,0,0,0,0,28,0,1,1,1,10,0,0,40,22,38,20,24,22,28,11,14,11,6,18,7,11,0,0,3.33220451,2.397895273,3.33220451
1,1,0,0,1,0,37,1,1,0,1,35,1,1,21,21,35,29,22,14,13,18,18,15,11,16,15,22,1,1,3.610917913,3.583518938,2.564949357
0,1,0,0,0,0,38,0,0,0,1,5,0,0,25,14,27,13,31,10,14,15,18,17,11,17,14,24,1,0,3.63758616,1.791759469,2.63905733
1,1,0,0,0,0,54,0,0,0,1,30,1,0,46,28,29,14,11,9,29,18,6,14,9,18,7,18,0,1,3.988984047,3.433987204,3.36729583
1,1,0,0,0,1,35,0,0,1,1,5,1,1,41,12,24,36,20,13,21,18,14,17,9,18,12,18,0,1,3.555348061,1.791759469,3.044522438
1,1,0,0,0,1,55,1,1,1,0,20,0,1,20,10,18,11,35,16,13,8,22,17,5,20,9,8,0,0,4.007333185,3.044522438,2.564949357
0,1,0,0,0,0,72,1,0,1,0,5,0,0,13,19,26,19,30,25,14,14,18,21,10,18,11,20,1,0,4.276666119,1.791759469,2.63905733
0,1,0,0,0,0,27,1,1,1,1,20,1,1,16,9,13,9,37,9,13,24,24,8,9,10,8,24,1,0,3.295836866,3.044522438,2.564949357
0,1,0,0,0,0,52,1,0,1,1,0,1,0,36,25,36,29,18,22,19,18,13,17,12,17,14,19,1,1,3.951243719,0,2.944438979
1,1,0,0,0,1,51,0,0,0,0,10,0,1,26,17,29,16,29,18,13,8,18,11,8,16,8,10,0,0,3.931825633,2.397895273,2.564949357
